# Global/data names adopted in config/symbols.main.exe.txt.
# datamatch     = reference alignment inside functions named on both sides
#                 (tools/datamatch.py; 100% control precision on 105 addrs)
# datamatch-reloc = the same reference alignment after inferring PSX.SYM data
#                   -> demo PSX.EXE data relocation from 323/323 unique anchors;
#                   raw reverse uniqueness and duplicate-static TU checks apply.
# ghidra-export = already named in the Ghidra program for THIS binary but
#                 never adopted, because import_symbols could only rename
#                 existing entries, not define new ones.
# The historical ghidra-export batch also contains address-keyed SDK/text labels;
# the source column records provenance rather than asserting storage section.
#addr	name	source	evidence	storage	type
80097f50	NingyoModel	datamatch-reloc	VOTES2;PSX=80098188;DEMO=800984e0;WITNESSES=InitializeItem,ProcItemNingyo	STAT	struct ModelType *
80097f54	HappouModel	datamatch-reloc	VOTES2;PSX=8009818c;DEMO=800984e4;WITNESSES=InitializeItem,ProcItemHappou	STAT	struct ModelType *
80097f5c	sprNapalm	datamatch-reloc	VOTES2;PSX=80098190;DEMO=800984e8;WITNESSES=InitializeItem,ReqItemUse	STAT	struct Sprite3D *
80097f60	sprNapalm2	datamatch-reloc	VOTES2;PSX=80098194;DEMO=800984ec;WITNESSES=InitializeItem,ProcItemNapalm	STAT	struct Sprite3D *
800c63f8	CLIP2	datamatch-reloc	VOTES2;PSX=801d62c0;DEMO=801d6618;WITNESSES=GS_001_OBJ_1F8,GsSetDrawBuffClip	?	?
800c6400	PSDCNT	datamatch-reloc	VOTES6;PSX=801eb144;DEMO=801eb49c;WITNESSES=GS_001_OBJ_1F8,GS_133_OBJ_21C,GS_133_OBJ_30,GS_134_OBJ_21C,GS_134_OBJ_30,GsSwapDispBuff	?	?
800c6404	PSDIDX	datamatch-reloc	VOTES7;PSX=801eb148;DEMO=801eb4a0;WITNESSES=GS_001_OBJ_520,GsGetActiveBuff,GsInitGraph,GsSetDrawBuffClip,GsSetDrawBuffOffset,GsSortClear,GsSwapDispBuff	?	?
800c6406	PSDGPU	datamatch-reloc	VOTES4;PSX=801eb154;DEMO=801eb4ac;WITNESSES=GS_001_OBJ_74,GsDefDispBuff,GsInitGraph2,GsSetDrawBuffOffset	?	?
800c6408	DSTACK	datamatch-reloc	VOTES4;PSX=801ea838;DEMO=801eab90;WITNESSES=GS_133_OBJ_30,GS_134_OBJ_30,GsGetLs,GsGetLw	?	?
800c6488	HWD0	datamatch-reloc	VOTES4;PSX=801d59e4;DEMO=801d5d3c;WITNESSES=GS_001_OBJ_1F8,GsInit3D,GsSortClear,GsSortObject4	?	?
